usdot_number,prefix,docket_number,legal_name,dba_name,city,state
3556023,FF,45095,780 AUTOMOTIVE LLC,,THORNTON,CO
2221419,MC,256634,7WOB INC.,BLUE BOLT XPRESS,COLORADO SPRINGS,CO
524960,MC,264270,7WOB INC.,BLUE BOLT TRANSPORT,COLORADO SPRINGS,CO
3594751,MC,1218894,8 STARS TRANSPORT,,GREELEY,CO
4207253,MC,1624086,80DEUCE DELIVERY LLC,,ERIE,CO
3967595OOS,MC,1481612,80ST LOGISTICS LLC,,NORTHGLENN,CO
3910011,MC,1443034,8750 TRANSPORT LLC,,MONTROSE,CO
2927895,MC,1167844,9 EAGLES LLC,,LOVELAND,CO
3616019OOS,MC,1233450,9 IRON EQUINE TRANSPORT LLC,,STERLING,CO
3433817,MC,1113321,9-LYNES LOGISTICS & TRANSPORTATION LLC,,MANITOU SPGS,CO
,FF,38893,9-LYNES LOGISTICS & TRANSPORTATION LLC,,MANITOU SPGS,CO
3005087,MC,1394367,96 TRUCKING LLC,,BRIGHTON,CO
3327419,MC,1059796,970 TRANSPORT AND SERVICE LLC,,MANCOS,CO
,FF,38029,970 TRUCKING,970 TRUCKING,GYPSUM,CO
,MC,1102565,970 TRUCKING,970 TRUCKING,GYPSUM,CO
3729236,MC,1315755,98 TRANSPORT LLC,,EVANS,CO
3571633,MC,1203305,A  R  LOGISTICS LLC,,NORTHGLENN,CO
,MC,1457671,A & A BROTHERS TRUCKING LLC,,LAKEWOOD,CO
502211,MC,258372,"A & A CHARTERS, INC.",,LITTLETON,CO
2231667,MC,474899,"A & A LOGISTICS, LLC",,THORNTON,CO
,FF,37008,A & A TRANSPORT LLC,,AURORA,CO
3391879OOS,MC,1141925,A & A TRANSPORT LLC,,AURORA,CO
235258,MC,121234,"A & A TRUCK LINES, INC.",,COLORADO SPRINGS,CO
3591506,MC,1305551,A & A TRUCKING,,STERLING,CO
3496833,MC,1197267,A & A TRUCKING LIMITED,,COMMERCE CITY,CO
1527144,MC,715123,A & A TRUCKING LLC,,LASALLE,CO
3054051,MC,1368273,A & A TRUCKING LLC,,LAMAR,CO
2210357,MC,767574,A & A TRUCKING LLC,,DENVER,CO
3263705OOS,MC,1029237,A & B MOVING AND DELIVERY INC,,THORNTON,CO
3460357,MC,1129299,A & B TRANSPORT INC,,AURORA,CO
3789997OOS,MC,1360024,A & B TRUCKING & TRANSPORT LLC,,THORNTON,CO
,FF,35855,A & C TRANSPORTATION,A AND C TRANSPORTATION,DENVER,CO
3361499,MC,1076548,A & C TRANSPORTATION LLC,,DENVER,CO
2596671,MC,911534,A & D ENTERPRISES LLC,A & D TRANSPORTATION,DENVER,CO
837988,MC,601531,A & D ENTERPRIZE LLC.,,AURORA,CO
2130603,MC,742133,A & D TRUCKING ENTERPRISES LLC,,NORTHGLENN,CO
2499352,MC,1179451,A & D TRUCKING LLC,,EVANS,CO
2986801,MC,17027,A & D TRUCKING LLC,,AURORA,CO
2944180,MC,996275,A & D WELDING INC,K2 BRIDGE SERVICES INC,GRAND JUNCTION,CO
3223563,MC,1044676,A & E SHIPPING,,AURORA,CO
2844404,MC,953333,"A & E TRANSPORT, LLC",,GRAND JCT,CO
3851130,MC,1403770,A & E TRANZ LLC,,DENVER,CO
2301745,MC,785838,A & E TRUCKING LLC,,CENTENNIAL,CO
2381716,MC,823958,A & E TRUCKING LLP,,BRIGHTON,CO
637591,MC,429372,"A & E TRUCKING, INC.",,NORTHGLENN,CO
2398229,MC,824622,A & ER TRANSPORT LLC,,COMMERCE CITY,CO
2791008,MC,930957,A & G EXPRESS LLC,A&G EXPRESS,AURORA,CO
3761268,MC,1339128,A & G TRUCKING LLC,,DENVER,CO
1963741,MC,695983,A & H CARRIERS INC,,DENVER,CO
2213847,MC,200955,"A & H TRANSPORTATION BROKERS, INC.",,DENVER,CO
2992227,MC,31771,A & H TRANSPORTATION LLC,,AURORA,CO
3849383,MC,1402598,A & I DELIVERIES INC,,DENVER,CO
3082440,MC,67409,A & I TRANSPORT LLC,,DENVER,CO
3075592,MC,63691,A & J DELIVERY EXPRESS,,THORNTON,CO
,MC,484976,A & J KEELINE TRUCKING INC,,CALHAN,CO
3189130,MC,1373137,A & J LOGISTICS CORP,,ARVADA,CO
2041044,MC,715893,A & J TRANSPORT INC,,SAGUACHE,CO
3481172OOS,MC,1144261,A & J TRANSPORTATION LLC,,NORTHGLENN,CO
1992458,MC,704448,A & J TRUCKING LLC,,STEAMBOAT SPRINGS,CO
886058,MC,386207,"A & J TRUCKING, INC.",,HENDERSON,CO
228319,MC,165620,"A & J TRUCKING, INC.",,DENVER,CO
,MC,880972,A & K LLC,,AURORA,CO
3559767,MC,1195181,A & K LOGISTCS LLC,AKL,AURORA,CO
3559767,FF,45293,A & K LOGISTCS LLC,AKL,AURORA,CO
2886452,FF,15542,A & K TRUCKING INC,,CASTLE ROCK,CO
2258050,MC,770581,A & L TRANSPORT LLC,,RIFLE,CO
1807845,MC,759817,A & L TRUCKING LLC,,SILT,CO
2269832,MC,72987,A & M LIVESTOCK LLC,,WELDONA,CO
3216416,MC,1005648,A & M THREADERS INC,,FORT MORGAN,CO
3542164,MC,1183094,A & M TRANSPORT LLC,,CENTER,CO
2475304,MC,1206240,A & M TRUCKING,,ERIE,CO
2894208,MC,972561,A & M TRUCKING LTD,,DENVER,CO
482446,MC,253217,"A & M TRUCKING, LTD",,GREELEY,CO
2537405,MC,882487,A & P EXPRESS LLC,,DENVER,CO
1002850,MC,1309930,A & S GARCIA TRUCKING LLC,,ROGGEN,CO
1780487,MC,649324,A & S SERVICES INC.,,DE BEQUE,CO
3477694,MC,1140302,A & S TRANSPORTATION LLC,,THORNTON,CO
1513872OOS,MC,584491,A & V ENTERPRISE INC,,DENVER,CO
2340918,MC,799340,A & W SPEED HORSES LLC,,WHITEWATER,CO
2221057,MC,226833,"A & W TRANSPORTATION SERVICE, INC.",,AURORA,CO
3284370,MC,1038966,A & W TRUCKING SERVICES LLC,,AURORA,CO
235107,MC,477497,A & W WATER SERVICE INC.,,FORT LUPTON,CO
2143025,MC,755485,A & X TRUCKING INC,,DENVER,CO
3307079,MC,1049841,A & Y TRUCKING SPECIALISTS LLC.,,DENVER,CO
2954518,MC,1100,A & Z TRANSPRO LLC,AZ TRANSPORT,GREELEY,CO
3482464,MC,1143425,A &T LLC,,DENVER,CO
,MC,664721,A 1 RELIABLE DELIVERY LLC,,THORNTON,CO
,MC,75965,A 2 Z TRANSPORT,,GREELEY,CO
,FF,24438,A 2 Z TRANSPORT,,GREELEY,CO
4002938,MC,1504975,A 3 MAJORS SERVICES LLC,,LAKEWOOD,CO
1830856,MC,517181,A A COLORADO BLUE MOUNTAIN EXPRESS LLC,,DENVER,CO
2812723,MC,937792,A A K TRANSPORT LLC,,BRIGHTON,CO
2407593,MC,828397,A ACCESS AIRPORT LIMO SERVICE INC,,AURORA,CO
,MC,971513,A AND A TRUCKING LLC,A&A TRUCKING LLC,PARACHUTE,CO
2086642,MC,960989,A AND B HILL RANCH INC,,BRIGGSDALE,CO
2382942,MC,818566,"A AND B REYNOLDS TRUCKING, LLC",,BAYFIELD,CO
2944289,FF,17194,A AND M CONSULTANT LLC,,AURORA,CO
2944289,MC,996330,A AND M CONSULTANT LLC,,AURORA,CO
4116238,MC,1640513,A AND M TRUCKING INC,,BRUSH,CO
3639071,MC,1249745,A BANUELOS TRUCKING LLC,,WESTMINSTER,CO
,MC,1103898,A BEST SERVICES 247 LLC,,DENVER,CO
2936693,MC,992426,A BETTER COMPUTER COMPANY LLC,A BETTER CHOICE SHIPPING,COLORADO SPGS,CO
1677022,MC,857880,A BETTER MOVE LLC,,AURORA,CO
602939,MC,291163,A BETTER MOVER INC.,,DENVER,CO
3148668,MC,103582,A BLAKE GOLF ENTERPRISES,,FORT MORGAN,CO
2443223,MC,842063,A CAPITOL CITY LIMO SERVICE LLC,,DENVER,CO
,FF,36447,A CASTANON G TRUCKING LLC,,DENVER,CO
3124942,MC,90021,A CINCH TOWING LLC,,AURORA,CO
1796825,MC,1375901,A CONCRETE INC,,JOHNSTOWN,CO
3048485,MC,54491,A CUT ABOVE TOWING & RECOVERY CORP,ENGLE TOWING,LOVELAND,CO
3712376,MC,1303410,A D A TRANSPORT LLC,,THORNTON,CO
2099791,MC,732387,A D D TRUCKING LLC,,BROOMFIELD,CO
2060014,MC,720854,A D O TRANSPORT INC,,LITTLETON,CO
2578076,MC,909347,A DIAMOND LLC,,WESTMINSTER,CO
1275715,MC,497883,"A DISCOUNT MOVING & STORAGE, INC",,AURORA,CO
1917120,MC,686602,A DYNAMITE TOWING INC,,AURORA,CO
3469305,MC,1135053,A E F TRUCKING LLC,,BRIGHTON,CO
